movie,imdb_ratings,metascore,votes,mv_page,genres1,genres2,genres3,stars1,stars2,stars3,nb_oscar,win,nom,runtime,budget,gross,director
Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,6.1,60        ,121663,https://imdb.com/title/tt7713068/,0,1,3,17,25,19,0,0,3,109,84500000.0,201858461.0,Cathy Yan
The Invisible Man,7.1,72        ,110862,https://imdb.com/title/tt1051906/,7,8,9,6,22,7,0,0,0,124,7000000.0,124515298.0,Leigh Whannell
Bad Boys for Life,6.7,59        ,100781,https://imdb.com/title/tt1502397/,0,2,3,32,18,29,0,0,1,124,90000000.0,419074646.0,Adil El Arbi
Sonic the Hedgehog,6.6,47        ,67876,https://imdb.com/title/tt3794354/,0,1,2,2,11,12,0,0,1,99,85000000.0,306766470.0,Jeff Fowler
Underwater,5.8,48        ,43268,https://imdb.com/title/tt5774060/,0,7,9,13,31,16,0,0,0,95,80000000.0,40882928.0,William Eubank
Bloodshot,5.7,44        ,42921,https://imdb.com/title/tt1634106/,0,4,9,30,5,26,0,0,0,109,45000000.0,28633332.0,Dave Wilson
The Hunt,6.4,50        ,41630,https://imdb.com/title/tt8244784/,0,7,10,3,9,10,0,0,0,90,14000000.0,6562393.0,Craig Zobel
Dolittle,5.6,26        ,35892,https://imdb.com/title/tt6673612/,1,2,5,24,1,21,0,0,0,101,175000000.0,223343452.0,Stephen Gaghan
The Call of the Wild,6.8,47        ,25272,https://imdb.com/title/tt7504726/,1,4,5,8,23,4,0,0,1,100,135000000.0,107604626.0,Chris Sanders
Fantasy Island,4.9,22        ,22629,https://imdb.com/title/tt0983946/,1,6,7,20,15,14,0,0,0,109,7000000.0,47315959.0,Jeff Wadlow
Gretel & Hansel,5.3,64        ,15512,https://imdb.com/title/tt9086228/,6,7,8,28,27,0,0,0,0,87,5000000.0,21287930.0,Oz Perkins
