,movie,year,imdb_ratings,metascore,votes,category,mv_page,genres1,genres2,genres3,stars1,stars2,stars3,rank,nb_oscar,win,nom,runtime,budget,gross
0,Inception,2010,8.8,74        ,1975921,PG-13,https://imdb.com/title/tt1375666/,Action,Adventure,Sci-Fi,Leonardo DiCaprio,Joseph Gordon-Levitt,Ellen Page,13,4,152,217,148,160000000,829895144
1,Shutter Island,2010,8.1,63        ,1083622,R,https://imdb.com/title/tt1130884/,Mystery,Thriller,,Leonardo DiCaprio,Emily Mortimer,Mark Ruffalo,158,0,11,65,138,80000000,294804195
2,Iron Man 2,2010,7.0,57        ,700641,PG-13,https://imdb.com/title/tt1228705/,Action,Adventure,Sci-Fi,Robert Downey Jr.,Mickey Rourke,Gwyneth Paltrow,0,1,7,43,124,200000000,623933331
3,Black Swan,2010,8.0,79        ,681347,R,https://imdb.com/title/tt0947798/,Drama,Thriller,,Natalie Portman,Mila Kunis,Vincent Cassel,0,1,97,277,108,13000000,329398046
4,How to Train Your Dragon,2010,8.1,75        ,646045,PG,https://imdb.com/title/tt0892769/,Animation,Action,Adventure,Jay Baruchel,Gerard Butler,Christopher Mintz-Plasse,197,2,25,60,98,165000000,494878759
5,The King's Speech,2010,8.0,88        ,623802,R,https://imdb.com/title/tt1504320/,Biography,Drama,History,Colin Firth,Geoffrey Rush,Helena Bonham Carter,0,4,106,204,118,15000000,427374317
6,The Social Network,2010,7.7,95        ,602758,PG-13,https://imdb.com/title/tt1285016/,Biography,Drama,,Jesse Eisenberg,Andrew Garfield,Justin Timberlake,0,3,171,183,120,40000000,224920315
7,Kick-Ass,2010,7.6,66        ,515259,R,https://imdb.com/title/tt1250777/,Action,Comedy,Crime,Aaron Taylor-Johnson,Nicolas Cage,Chloë Grace Moretz,0,0,19,61,117,30000000,96188903
8,Despicable Me,2010,7.6,72        ,487822,PG,https://imdb.com/title/tt1323594/,Animation,Comedy,Family,Steve Carell,Jason Segel,Russell Brand,0,1,3,40,95,69000000,543113985
9,Harry Potter and the Deathly Hallows: Part 1,2010,7.7,65        ,457952,PG-13,https://imdb.com/title/tt0926084/,Adventure,Family,Fantasy,Daniel Radcliffe,Emma Watson,Rupert Grint,0,2,15,53,146,150000000,988649305
10,Tangled,2010,7.7,71        ,392467,PG,https://imdb.com/title/tt0398286/,Animation,Adventure,Comedy,Mandy Moore,Zachary Levi,Donna Murphy,0,1,10,40,100,260000000,592461732
11,Alice in Wonderland,2010,6.4,53        ,374321,PG,https://imdb.com/title/tt1014759/,Adventure,Family,Fantasy,Mia Wasikowska,Johnny Depp,Helena Bonham Carter,0,2,33,63,108,200000000,1025467110
12,Scott Pilgrim vs. the World,2010,7.5,69        ,363055,PG-13,https://imdb.com/title/tt0446029/,Action,Comedy,Fantasy,Michael Cera,Mary Elizabeth Winstead,Kieran Culkin,0,0,17,64,112,60000000,47664559
13,Easy A,2010,7.1,72        ,347541,PG-13,https://imdb.com/title/tt1282140/,Comedy,Drama,Romance,Emma Stone,Amanda Bynes,Penn Badgley,0,1,9,20,92,8000000,75026216
14,The Town,2010,7.5,74        ,340142,R,https://imdb.com/title/tt0840361/,Crime,Drama,Thriller,Ben Affleck,Rebecca Hall,Jon Hamm,0,1,9,45,125,37000000,154026136
15,127 Hours,2010,7.6,82        ,339813,R,https://imdb.com/title/tt1542344/,Biography,Drama,,James Franco,Amber Tamblyn,Kate Mara,0,6,23,144,94,18000000,60738797
