,Column1,movie,year,imdb_ratings,metascore,votes,category,mv_page,genres1,genres2,genres3,stars1,stars2,stars3,rank,nb_oscar,win,nom,runtime,budget,gross
0,0,Extraction,2020,6.8,56.0,123830,R,https://imdb.com/title/tt8936646/,Action,Crime,Thriller,Chris Hemsworth,Bryon Lerum,Ryder Lerum,0,0,0.0,0.0,116.0,,
1,1,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,2020,6.1,60.0,120603,R,https://imdb.com/title/tt7713068/,Action,Adventure,Crime,Margot Robbie,Rosie Perez,Mary Elizabeth Winstead,0,0,0.0,3.0,109.0,84500000.0,201858461.0
2,2,The Invisible Man,2020,7.1,72.0,109031,R,https://imdb.com/title/tt1051906/,Horror,Mystery,Sci-Fi,Elisabeth Moss,Oliver Jackson-Cohen,Harriet Dyer,0,0,0.0,0.0,124.0,7000000.0,124099351.0
3,3,Bad Boys for Life,2020,6.7,59.0,99792,R,https://imdb.com/title/tt1502397/,Action,Comedy,Crime,Will Smith,Martin Lawrence,Vanessa Hudgens,0,0,0.0,1.0,124.0,90000000.0,419074646.0
4,4,Sonic the Hedgehog,2020,6.6,47.0,67208,PG,https://imdb.com/title/tt3794354/,Action,Adventure,Comedy,Ben Schwartz,James Marsden,Jim Carrey,0,0,0.0,1.0,99.0,85000000.0,306766470.0
5,5,Onward,2020,7.5,61.0,65530,PG,https://imdb.com/title/tt7146812/,Animation,Adventure,Comedy,Tom Holland,Chris Pratt,Julia Louis-Dreyfus,0,0,0.0,1.0,102.0,,103181419.0
6,6,Spenser Confidential,2020,6.2,49.0,56422,R,https://imdb.com/title/tt8629748/,Action,Comedy,Crime,Mark Wahlberg,Winston Duke,Alan Arkin,0,0,0.0,0.0,111.0,,
7,7,Underwater,2020,5.8,48.0,42823,PG-13,https://imdb.com/title/tt5774060/,Action,Horror,Sci-Fi,Kristen Stewart,Vincent Cassel,Mamoudou Athie,0,0,0.0,0.0,95.0,80000000.0,40882928.0
8,8,Bloodshot,2020,5.7,44.0,42424,PG-13,https://imdb.com/title/tt1634106/,Action,Drama,Sci-Fi,Vin Diesel,Eiza González,Sam Heughan,0,0,0.0,0.0,109.0,45000000.0,28599700.0
9,9,The Hunt,2020,6.4,50.0,40634,R,https://imdb.com/title/tt8244784/,Action,Horror,Thriller,Betty Gilpin,Hilary Swank,Ike Barinholtz,0,0,0.0,0.0,90.0,14000000.0,6562393.0
10,10,Dolittle,2020,5.6,26.0,35584,PG,https://imdb.com/title/tt6673612/,Adventure,Comedy,Family,Robert Downey Jr.,Antonio Banderas,Michael Sheen,0,0,0.0,0.0,101.0,175000000.0,223343452.0
11,11,The Call of the Wild,2020,6.8,47.0,24934,PG,https://imdb.com/title/tt7504726/,Adventure,Drama,Family,Harrison Ford,Omar Sy,Cara Gee,0,0,0.0,1.0,100.0,135000000.0,107604626.0
12,12,Fantasy Island,2020,4.8,22.0,22330,PG-13,https://imdb.com/title/tt0983946/,Adventure,Fantasy,Horror,Michael Peña,Maggie Q,Lucy Hale,0,0,0.0,0.0,109.0,7000000.0,47315959.0
13,13,The Way Back,2020,6.8,68.0,19341,R,https://imdb.com/title/tt8544498/,Drama,Sport,,Ben Affleck,Al Madrigal,Janina Gavankar,0,0,0.0,0.0,108.0,,14690514.0
14,14,The Half of It,2020,7.0,74.0,19049,PG-13,https://imdb.com/title/tt9683478/,Comedy,Drama,Romance,Leah Lewis,Daniel Diemer,Alexxis Lemire,0,0,1.0,1.0,104.0,,
15,15,Emma.,2020,6.8,71.0,16404,PG,https://imdb.com/title/tt9214832/,Comedy,Drama,,Anya Taylor-Joy,Johnny Flynn,Mia Goth,0,0,0.0,0.0,124.0,,25155355.0
16,16,Da 5 Bloods,2020,6.7,82.0,15959,R,https://imdb.com/title/tt9777644/,Adventure,Drama,War,Delroy Lindo,Jonathan Majors,Clarke Peters,0,0,0.0,0.0,154.0,,
17,17,Gretel & Hansel,2020,5.3,64.0,15355,PG-13,https://imdb.com/title/tt9086228/,Fantasy,Horror,Mystery,Sophia Lillis,Samuel Leakey,Alice Krige,0,0,0.0,0.0,87.0,5000000.0,21287930.0
18,18,The Grudge,2020,4.2,41.0,15257,R,https://imdb.com/title/tt3612126/,Horror,Mystery,,Tara Westwood,Junko Bailey,David Lawrence Brown,0,0,0.0,0.0,94.0,10000000.0,49511319.0
19,19,The Lovebirds,2020,6.0,59.0,13807,R,https://imdb.com/title/tt8851668/,Action,Comedy,Crime,Issa Rae,Kumail Nanjiani,Paul Sparks,0,0,0.0,0.0,86.0,,
20,20,Lost Girls,2020,6.1,67.0,12972,R,https://imdb.com/title/tt3111426/,Drama,Mystery,Thriller,Amy Ryan,Thomasin McKenzie,Gabriel Byrne,0,0,0.0,0.0,95.0,,
21,21,Escape from Pretoria,2020,6.8,56.0,11766,PG-13,https://imdb.com/title/tt5797184/,Thriller,,,Daniel Radcliffe,Ian Hart,Daniel Webber,0,0,0.0,0.0,106.0,,1523206.0
22,22,Horse Girl,2020,5.9,61.0,11555,R,https://imdb.com/title/tt11388406/,Drama,Mystery,Thriller,Alison Brie,Molly Shannon,Goldenite,0,0,0.0,0.0,103.0,,
23,23,The Banker,2020,7.2,59.0,11470,PG-13,https://imdb.com/title/tt6285944/,Biography,Drama,,Anthony Mackie,Samuel L. Jackson,Nicholas Hoult,0,0,0.0,0.0,120.0,,
24,24,The Last Thing He Wanted,2020,4.2,35.0,10618,R,https://imdb.com/title/tt7456312/,Crime,Drama,Mystery,Anne Hathaway,Ben Affleck,Rosie Perez,0,0,0.0,0.0,115.0,,
25,25,Justice League Dark: Apokolips War,2020,7.8,,10355,R,https://imdb.com/title/tt11079148/,Animation,Action,Sci-Fi,Roger Cross,Rosario Dawson,Christopher Gorham,0,0,0.0,0.0,90.0,,
26,26,The Willoughbys,2020,6.4,68.0,9485,PG,https://imdb.com/title/tt5206260/,Animation,Adventure,Comedy,Will Forte,Maya Rudolph,Alessia Cara,0,0,0.0,0.0,90.0,,
27,27,Scoob!,2020,5.7,43.0,9322,PG,https://imdb.com/title/tt3152592/,Animation,Adventure,Comedy,Will Forte,Mark Wahlberg,Jason Isaacs,0,0,0.0,0.0,93.0,,
28,28,Artemis Fowl,2020,4.0,31.0,9258,PG,https://imdb.com/title/tt3089630/,Adventure,Family,Fantasy,Ferdia Shaw,Lara McDonnell,Josh Gad,0,0,0.0,0.0,95.0,,
