Column1;movie;year;imdb_ratings;metascore;votes;category;mv_page;genres1;genres2;genres3;stars1;stars2;stars3;rank;nb_oscar;win;nom;runtime;budget;gross
0;Extraction;2020;6.8;56;123830;R;https://imdb.com/title/tt8936646/;Action;Crime;Thriller;Chris Hemsworth;Bryon Lerum;Ryder Lerum;0;0;0;0;116;;
1;Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn;2020;6.1;60;120603;R;https://imdb.com/title/tt7713068/;Action;Adventure;Crime;Margot Robbie;Rosie Perez;Mary Elizabeth Winstead;0;0;0;3;109;84500000;201858461
2;The Invisible Man;2020;7.1;72;109031;R;https://imdb.com/title/tt1051906/;Horror;Mystery;Sci-Fi;Elisabeth Moss;Oliver Jackson-Cohen;Harriet Dyer;0;0;0;0;124;7000000;124099351
3;Bad Boys for Life;2020;6.7;59;99792;R;https://imdb.com/title/tt1502397/;Action;Comedy;Crime;Will Smith;Martin Lawrence;Vanessa Hudgens;0;0;0;1;124;90000000;419074646
4;Sonic the Hedgehog;2020;6.6;47;67208;PG;https://imdb.com/title/tt3794354/;Action;Adventure;Comedy;Ben Schwartz;James Marsden;Jim Carrey;0;0;0;1;99;85000000;306766470
5;Onward;2020;7.5;61;65530;PG;https://imdb.com/title/tt7146812/;Animation;Adventure;Comedy;Tom Holland;Chris Pratt;Julia Louis-Dreyfus;0;0;0;1;102;;103181419
6;Spenser Confidential;2020;6.2;49;56422;R;https://imdb.com/title/tt8629748/;Action;Comedy;Crime;Mark Wahlberg;Winston Duke;Alan Arkin;0;0;0;0;111;;
7;Underwater;2020;5.8;48;42823;PG-13;https://imdb.com/title/tt5774060/;Action;Horror;Sci-Fi;Kristen Stewart;Vincent Cassel;Mamoudou Athie;0;0;0;0;95;80000000;40882928
8;Bloodshot;2020;5.7;44;42424;PG-13;https://imdb.com/title/tt1634106/;Action;Drama;Sci-Fi;Vin Diesel;Eiza González;Sam Heughan;0;0;0;0;109;45000000;28599700
9;The Hunt;2020;6.4;50;40634;R;https://imdb.com/title/tt8244784/;Action;Horror;Thriller;Betty Gilpin;Hilary Swank;Ike Barinholtz;0;0;0;0;90;14000000;6562393
