,index,genres
0,0,Action
1,0,Action
2,8,Horror
3,0,Action
4,0,Action
5,2,Animation
6,0,Action
7,0,Action
8,0,Action
9,0,Action
10,1,Adventure
11,1,Adventure
12,1,Adventure
13,3,Comedy
14,1,Adventure
15,7,Fantasy
16,0,Action
17,4,Crime
18,1,Adventure
19,9,Mystery
20,3,Comedy
21,1,Adventure
22,1,Adventure
23,3,Comedy
24,8,Horror
25,5,Drama
26,8,Horror
27,3,Comedy
28,5,Drama
29,7,Fantasy
30,5,Drama
31,5,Drama
32,8,Horror
33,3,Comedy
34,12,Thriller
35,4,Crime
36,11,Sci-Fi
37,4,Crime
38,3,Comedy
39,3,Comedy
40,4,Crime
41,11,Sci-Fi
42,11,Sci-Fi
43,12,Thriller
44,6,Family
45,6,Family
46,8,Horror
47,10,Romance
48,13,War
49,9,Mystery
50,4,Crime
