,index,stars
0,8,Chris Hemsworth
1,30,Margot Robbie
2,14,Elisabeth Moss
3,49,Will Smith
4,4,Ben Schwartz
5,45,Tom Holland
6,31,Mark Wahlberg
7,24,Kristen Stewart
8,47,Vin Diesel
9,5,Betty Gilpin
10,39,Robert Downey Jr.
11,16,Harrison Ford
12,34,Michael Peña
13,26,Leah Lewis
14,12,Delroy Lindo
15,44,Sophia Lillis
16,19,Issa Rae
17,6,Bryon Lerum
18,40,Rosie Perez
19,36,Oliver Jackson-Cohen
20,32,Martin Lawrence
21,20,James Marsden
22,9,Chris Pratt
23,50,Winston Duke
24,48,Vincent Cassel
25,13,Eiza González
26,17,Hilary Swank
27,3,Antonio Banderas
28,37,Omar Sy
29,28,Maggie Q
30,11,Daniel Diemer
31,22,Jonathan Majors
32,43,Samuel Leakey
33,25,Kumail Nanjiani
34,41,Ryder Lerum
35,33,Mary Elizabeth Winstead
36,15,Harriet Dyer
37,46,Vanessa Hudgens
38,21,Jim Carrey
39,23,Julia Louis-Dreyfus
40,0,Alan Arkin
41,29,Mamoudou Athie
42,42,Sam Heughan
43,18,Ike Barinholtz
44,35,Michael Sheen
45,7,Cara Gee
46,27,Lucy Hale
47,1,Alexxis Lemire
48,10,Clarke Peters
49,2,Alice Krige
50,38,Paul Sparks
