,movie,year,imdb,metascore,votes,categories,n_imdb
0,Gladiator,2000,8.5,67,1294172,R,85.0
1,Memento,2000,8.4,80,1087550,R,84.0
2,Snatch,2000,8.3,55,759980,R,83.0
3,Requiem for a Dream,2000,8.3,68,741456,R,83.0
4,American Psycho,2000,7.6,64,466303,R,76.0
5,The Patriot,2000,7.2,63,248575,R,72.0
6,Almost Famous,2000,7.9,90,245064,R,79.0
7,Scary Movie,2000,6.2,48,226260,R,62.0
8,Final Destination,2000,6.7,36,222950,R,67.0
9,Pitch Black,2000,7.1,49,221128,R,71.0
10,The Beach,2000,6.7,43,217715,R,67.0
11,"Me, Myself & Irene",2000,6.6,49,217621,R,66.0
12,Amores Perros,2000,8.1,83,217334,R,81.0
13,Traffic,2000,7.6,86,191945,R,76.0
14,Erin Brockovich,2000,7.3,73,168900,R,73.0
15,High Fidelity,2000,7.5,79,164340,R,75.0
16,Road Trip,2000,6.4,55,154334,R,64.0
17,Billy Elliot,2000,7.7,74,122633,R,77.0
18,Hollow Man,2000,5.8,24,120591,R,58.0
19,Scream 3,2000,5.6,56,120087,R,56.0
20,The Whole Nine Yards,2000,6.7,47,107669,R,67.0
21,Men of Honor,2000,7.2,56,104727,R,72.0
22,Dancer in the Dark,2000,8.0,61,99144,R,80.0
