movie,imdb_ratings,metascore,votes,category,genres1,genres2,genres3,stars1,stars2,stars3,nb_oscar,win,nom,runtime,budget,gross,years
Mad Max: Fury Road,8.1,90.0,845766.0,1.0,Action,Adventure,Sci-Fi,Tom Hardy,Charlize Theron,Nicholas Hoult,6.0,236.0,236228.0,120.0,150000000.0,375209362.0,2015
Star Wars: Episode VII - The Force Awakens,7.9,80.0,840040.0,3.0,Action,Adventure,Sci-Fi,Daisy Ridley,John Boyega,Oscar Isaac,5.0,62.0,62126.0,138.0,245000000.0,2068223624.0,2015
The Martian,8.0,80.0,733165.0,3.0,Adventure,Drama,Sci-Fi,Matt Damon,Jessica Chastain,Kristen Wiig,7.0,40.0,40188.0,144.0,108000000.0,630161890.0,2015
Avengers: Age of Ultron,7.3,66.0,716000.0,3.0,Action,Adventure,Sci-Fi,Robert Downey Jr.,Chris Evans,Mark Ruffalo,0.0,8.0,47.0,141.0,250000000.0,1402805868.0,2015
The Revenant,8.0,76.0,677192.0,1.0,Action,Adventure,Biography,Leonardo DiCaprio,Tom Hardy,Will Poulter,3.0,87.0,87186.0,156.0,135000000.0,532950503.0,2015
Inside Out,8.1,94.0,585263.0,2.0,Animation,Adventure,Comedy,Amy Poehler,Bill Hader,Lewis Black,1.0,97.0,97114.0,95.0,175000000.0,857611174.0,2015
Jurassic World,7.0,59.0,565339.0,3.0,Action,Adventure,Sci-Fi,Chris Pratt,Bryce Dallas Howard,Ty Simpkins,0.0,15.0,57.0,124.0,150000000.0,1670400637.0,2015
Ant-Man,7.3,64.0,547698.0,3.0,Action,Adventure,Comedy,Paul Rudd,Michael Douglas,Corey Stoll,1.0,4.0,433.0,117.0,130000000.0,519311965.0,2015
The Hateful Eight,7.8,68.0,492098.0,1.0,Crime,Drama,Mystery,Samuel L. Jackson,Kurt Russell,Jennifer Jason Leigh,1.0,40.0,40115.0,168.0,44000000.0,155760117.0,2015
Spotlight,8.1,93.0,400622.0,1.0,Biography,Crime,Drama,Mark Ruffalo,Michael Keaton,Rachel McAdams,2.0,123.0,123141.0,129.0,20000000.0,98690254.0,2015
Spectre,6.8,60.0,373333.0,3.0,Action,Adventure,Thriller,Daniel Craig,Christoph Waltz,Léa Seydoux,1.0,7.0,734.0,148.0,245000000.0,880674609.0,2015
Sicario,7.6,82.0,355954.0,1.0,Action,Crime,Drama,Emily Blunt,Josh Brolin,Benicio Del Toro,3.0,15.0,15151.0,121.0,30000000.0,84872444.0,2015
Room,8.1,86.0,351343.0,1.0,Drama,Thriller,Thriller,Brie Larson,Jacob Tremblay,Sean Bridgers,1.0,104.0,104140.0,118.0,13000000.0,35401758.0,2015
Furious 7,7.1,67.0,351018.0,3.0,Action,Adventure,Thriller,Vin Diesel,Paul Walker,Dwayne Johnson,1.0,33.0,3334.0,137.0,190000000.0,1515047671.0,2015
The Big Short,7.8,81.0,343346.0,1.0,Biography,Comedy,Drama,Christian Bale,Steve Carell,Ryan Gosling,1.0,37.0,3780.0,130.0,28000000.0,133440870.0,2015
Mission: Impossible - Rogue Nation,7.4,75.0,331415.0,3.0,Action,Adventure,Thriller,Tom Cruise,Rebecca Ferguson,Jeremy Renner,0.0,6.0,24.0,131.0,150000000.0,682714267.0,2015
Fifty Shades of Grey,4.1,46.0,291197.0,1.0,Drama,Romance,Thriller,Dakota Johnson,Jamie Dornan,Jennifer Ehle,1.0,9.0,926.0,125.0,40000000.0,569651467.0,2015
Bridge of Spies,7.6,81.0,278204.0,3.0,Drama,History,Thriller,Tom Hanks,Mark Rylance,Alan Alda,1.0,30.0,30101.0,142.0,40000000.0,165478348.0,2015
The Hunger Games: Mockingjay - Part 2,6.5,65.0,273958.0,3.0,Action,Adventure,Sci-Fi,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,0.0,16.0,34.0,137.0,160000000.0,658344137.0,2015
The Man from U.N.C.L.E.,7.3,56.0,259167.0,3.0,Action,Adventure,Comedy,Henry Cavill,Armie Hammer,Alicia Vikander,0.0,7.0,5.0,116.0,75000000.0,107045109.0,2015
Terminator Genisys,6.4,38.0,252751.0,3.0,Action,Adventure,Sci-Fi,Arnold Schwarzenegger,Jason Clarke,Emilia Clarke,0.0,0.0,9.0,126.0,155000000.0,440603537.0,2015
Creed,7.6,82.0,239799.0,3.0,Drama,Sport,Sport,Michael B. Jordan,Sylvester Stallone,Tessa Thompson,1.0,46.0,4662.0,133.0,35000000.0,173567581.0,2015
Chappie,6.8,41.0,224290.0,1.0,Action,Crime,Drama,Sharlto Copley,Dev Patel,Hugh Jackman,0.0,0.0,3.0,120.0,49000000.0,102811889.0,2015
Spy,7.0,75.0,224279.0,1.0,Action,Comedy,Crime,Melissa McCarthy,Rose Byrne,Jude Law,2.0,6.0,627.0,120.0,65000000.0,235666219.0,2015
