,movie,year,imdb_ratings,metascore,votes,category,genres1,genres2,genres3,stars1,stars2,stars3,nb_oscar,win,nom,runtime,budget,gross
0,Gladiator,2000,8.5,67.0,1294870,1,Action,Adventure,Drama,Russell Crowe,Joaquin Phoenix,Connie Nielsen,5,54.0,104.0,155.0,103000000.0,460583960.0
1,Memento,2000,8.4,80.0,1088130,1,Mystery,Thriller,,Guy Pearce,Carrie-Anne Moss,Joe Pantoliano,2,57.0,56.0,113.0,9000000.0,39723096.0
2,Snatch,2000,8.3,55.0,760320,1,Comedy,Crime,,Jason Statham,Brad Pitt,Benicio Del Toro,0,4.0,6.0,104.0,6000000.0,83557872.0
3,Requiem for a Dream,2000,8.3,68.0,741844,1,Drama,,,Ellen Burstyn,Jared Leto,Jennifer Connelly,1,35.0,69.0,102.0,4500000.0,7390108.0
4,X-Men,2000,7.4,64.0,558541,3,Action,Adventure,Sci-Fi,Patrick Stewart,Hugh Jackman,Ian McKellen,0,13.0,27.0,104.0,75000000.0,296339528.0
5,Cast Away,2000,7.8,73.0,505118,3,Adventure,Drama,Romance,Tom Hanks,Helen Hunt,Paul Sanchez,2,15.0,35.0,143.0,90000000.0,429632142.0
6,American Psycho,2000,7.6,64.0,466642,1,Comedy,Crime,Drama,Christian Bale,Justin Theroux,Josh Lucas,0,8.0,13.0,101.0,7000000.0,34266564.0
7,Unbreakable,2000,7.3,62.0,377278,3,Drama,Mystery,Sci-Fi,Bruce Willis,Samuel L. Jackson,Robin Wright,0,2.0,13.0,106.0,75000000.0,248118121.0
8,Mission: Impossible II,2000,6.1,59.0,305733,3,Action,Adventure,Thriller,Tom Cruise,Dougray Scott,Thandie Newton,0,12.0,20.0,123.0,125000000.0,546388108.0
9,Meet the Parents,2000,7.0,73.0,304149,3,Comedy,Romance,,Ben Stiller,Robert De Niro,Teri Polo,1,7.0,14.0,108.0,55000000.0,330444045.0
10,O Brother Where Art Thou?,2000,7.7,69.0,276566,3,Adventure,Comedy,Crime,George Clooney,John Turturro,Tim Blake Nelson,2,7.0,36.0,107.0,26000000.0,71868327.0
11,Gone in 60 Seconds,2000,6.5,35.0,255247,3,Action,Crime,Thriller,Nicolas Cage,Angelina Jolie,Giovanni Ribisi,0,9.0,6.0,118.0,90000000.0,237202299.0
12,The Patriot,2000,7.2,63.0,248651,1,Action,Drama,History,Mel Gibson,Heath Ledger,Joely Richardson,3,9.0,17.0,165.0,110000000.0,215294342.0
13,Crouching Tiger Hidden Dragon,2000,7.8,94.0,248201,3,Action,Adventure,Fantasy,Yun-Fat Chow,Michelle Yeoh,Ziyi Zhang,4,97.0,133.0,120.0,17000000.0,213525736.0
14,Almost Famous,2000,7.9,90.0,245192,1,Adventure,Comedy,Drama,Billy Crudup,Patrick Fugit,Kate Hudson,1,52.0,103.0,122.0,60000000.0,47383689.0
15,Scary Movie,2000,6.2,48.0,226395,1,Comedy,,,Anna Faris,Jon Abrahams,Marlon Wayans,0,7.0,6.0,88.0,19000000.0,278019771.0
16,Final Destination,2000,6.7,36.0,223053,1,Horror,Thriller,,Devon Sawa,Ali Larter,Kerr Smith,0,3.0,4.0,98.0,23000000.0,112880294.0
17,Pitch Black,2000,7.1,49.0,221190,1,Action,Horror,Sci-Fi,Radha Mitchell,Cole Hauser,Vin Diesel,0,2.0,9.0,109.0,23000000.0,53187659.0
18,The Beach,2000,6.7,43.0,217807,1,Adventure,Drama,Romance,Leonardo DiCaprio,Daniel York,Patcharawan Patarakijjanon,0,0.0,7.0,119.0,50000000.0,144056873.0
19,Me Myself & Irene,2000,6.6,49.0,217702,1,Comedy,,,Jim Carrey,Renée Zellweger,Anthony Anderson,0,2.0,4.0,116.0,51000000.0,149270999.0
20,Amores Perros,2000,8.1,83.0,217472,1,Drama,Thriller,,Emilio Echevarría,Gael García Bernal,Goya Toledo,1,55.0,23.0,154.0,2000000.0,20908467.0
21,How the Grinch Stole Christmas,2000,6.2,46.0,197000,2,Comedy,Family,Fantasy,Jim Carrey,Taylor Momsen,Kelley,1,17.0,37.0,104.0,123000000.0,345141403.0
22,Remember the Titans,2000,7.8,48.0,192561,2,Biography,Drama,Sport,Denzel Washington,Will Patton,Wood Harris,0,8.0,18.0,113.0,30000000.0,136706683.0
23,Traffic,2000,7.6,86.0,192026,1,Crime,Drama,Thriller,Michael Douglas,Benicio Del Toro,Catherine Zeta-Jones,4,70.0,86.0,147.0,48000000.0,207515725.0
24,What Women Want,2000,6.4,47.0,187475,3,Comedy,Fantasy,Romance,Mel Gibson,Helen Hunt,Marisa Tomei,1,5.0,8.0,127.0,70000000.0,374111707.0
25,Miss Congeniality,2000,6.2,43.0,181078,3,Action,Comedy,Crime,Sandra Bullock,Michael Caine,Benjamin Bratt,2,7.0,5.0,109.0,45000000.0,212742720.0
26,Chocolat,2000,7.2,64.0,174351,3,Drama,Romance,,Juliette Binoche,Judi Dench,Alfred Molina,5,7.0,31.0,121.0,25000000.0,152699946.0
27,Charlie's Angels,2000,5.5,52.0,172363,3,Action,Adventure,Comedy,Cameron Diaz,Drew Barrymore,Lucy Liu,0,15.0,30.0,98.0,93000000.0,264105545.0
28,Erin Brockovich,2000,7.3,73.0,168994,1,Biography,Drama,,Julia Roberts,Albert Finney,David Brisbin,1,32.0,59.0,131.0,52000000.0,256271286.0
29,High Fidelity,2000,7.5,79.0,164400,1,Comedy,Drama,Music,John Cusack,Iben Hjejle,Todd Louiso,1,3.0,21.0,113.0,30000000.0,47126295.0
30,Road Trip,2000,6.4,55.0,154395,1,Comedy,,,Breckin Meyer,Seann William Scott,Amy Smart,0,4.0,9.0,93.0,16000000.0,119754278.0
31,The Perfect Storm,2000,6.4,59.0,152702,3,Action,Adventure,Drama,George Clooney,Mark Wahlberg,John C. Reilly,2,4.0,25.0,130.0,140000000.0,328718434.0
32,Dude Where's My Car?,2000,5.5,30.0,132337,3,Comedy,Mystery,Sci-Fi,Ashton Kutcher,Seann William Scott,Jennifer Garner,0,0.0,5.0,83.0,13000000.0,73180723.0
33,Billy Elliot,2000,7.7,74.0,122696,1,Drama,Music,,Jamie Bell,Julie Walters,Jean Heywood,3,56.0,69.0,110.0,5000000.0,109280263.0
34,Hollow Man,2000,5.8,24.0,120664,1,Action,Horror,Sci-Fi,Kevin Bacon,Elisabeth Shue,Josh Brolin,1,7.0,13.0,112.0,95000000.0,190213455.0
35,Scream 3,2000,5.6,56.0,120127,1,Horror,Mystery,,David Arquette,Neve Campbell,Courteney Cox,0,6.0,5.0,116.0,40000000.0,161834276.0
36,In the Mood for Love,2000,8.1,85.0,117161,2,Drama,Romance,,Tony Chiu-Wai Leung,Maggie Cheung,Ping Lam Siu,1,45.0,50.0,98.0,,12854953.0
37,Shanghai Noon,2000,6.6,77.0,116748,3,Action,Adventure,Comedy,Jackie Chan,Owen Wilson,Lucy Liu,0,1.0,7.0,110.0,55000000.0,99274467.0
38,What Lies Beneath,2000,6.6,51.0,115192,3,Drama,Fantasy,Horror,Harrison Ford,Michelle Pfeiffer,Katharine Towne,0,7.0,6.0,130.0,100000000.0,291420351.0
39,The 6th Day,2000,5.9,49.0,114355,3,Action,Mystery,Sci-Fi,Arnold Schwarzenegger,Michael Rapaport,Tony Goldwyn,0,0.0,8.0,123.0,82000000.0,96085477.0
40,Pay It Forward,2000,7.2,40.0,110732,3,Drama,,,Kevin Spacey,Haley Joel Osment,Helen Hunt,0,1.0,4.0,123.0,40000000.0,55707411.0
41,The Whole Nine Yards,2000,6.7,47.0,107721,1,Comedy,Crime,,Bruce Willis,Matthew Perry,Rosanna Arquette,0,0.0,6.0,98.0,41300000.0,106371651.0
42,Men of Honor,2000,7.2,56.0,104759,1,Biography,Drama,,Cuba Gooding Jr.,Robert De Niro,Charlize Theron,0,0.0,11.0,129.0,32000000.0,82343495.0
43,Coyote Ugly,2000,5.7,27.0,104549,3,Comedy,Drama,Music,Piper Perabo,Adam Garcia,John Goodman,0,4.0,8.0,100.0,45000000.0,113916474.0
44,The Family Man,2000,6.8,42.0,100673,3,Comedy,Drama,Fantasy,Nicolas Cage,Téa Leoni,Don Cheadle,0,4.0,6.0,125.0,60000000.0,124745083.0
